index,img,clutter,firstfixtotarget,iousfixmap,iousgradcam,gtcs,scs,targetsize,eccentricities,eccentricity scaled 0-1,precisions_fixmap,precisions_gradcam,accuracies_fixmap,accuracies_gradcam,ious_gradcamfixmap,avetargetsaliency,confidence,fixmapproportional_area,gradcamproportional_area,precisionsratio,log precision ratio,accuracyratio,log accuracy ratio,iou ratio,log iou ratio
206,476window screen,109,5.625,0.5382813644,0,0.1016883117,0.3759810455,0.0228928517,173.724875,0.6065812676,0.5444987413,0,0.9792276964,0,0,0.3054723322,98.6997962,0.04117055327,0.09388812681,55.44987413,4.015479444,98.92276964,4.594339441,54.82813644,4.004203501
170,645folding chair,103,4.666666667,0.2881427072,0.01801493085,0.4385279554,0.378589527,0.008547477519,136.7422455,0.4774519744,0.2899070946,0.01831346886,0.9793152639,0.5249643367,0.04476744186,0.1111606202,98.8936007,0.02887364731,0.2450175278,10.59238259,2.360135119,1.849310685,0.614812967,10.64227889,2.364834642
44,669computer keyboard,143,5.6,0.3879987908,0.05929095355,0.2322059223,0.5894271785,0.01596707819,154.2194841,0.5384758525,0.3910725168,0.05929095355,0.9801450935,1,0.1355924616,0.2543113769,99.97226596,0.04001828989,0.2693004115,5.788237804,1.755827894,0.9803416768,-0.01985411831,5.743878103,1.74813461
49,638teapot,119,4.692307692,0.5291049447,0,0.2090411748,0.2562539416,0.0156805365,98.68954994,0.3445864174,0.5331091024,0,0.9860031104,0,0,0.2208396687,97.14385867,0.02900167657,0.04234720317,54.31091024,3.994725132,99.60031104,4.601165287,53.91049447,3.987325162
132,695vase,79,5,0.2011385199,0.06631027038,0.4204790789,0.278464954,0.007864654778,174.4026257,0.6089477153,0.2017126546,0.06631027038,0.9860465116,1,0.3241492752,0.3951051253,92.21732616,0.03844535894,0.1186038714,2.774366459,1.020422418,0.986184665,-0.01391165492,2.766842771,1.017706876
95,464sink,118,5.705882353,0.7193188491,0,0.489920918,0.02489134729,0.02269166286,199.9518205,0.6981557979,0.7259976294,0,0.9873723804,0,0,0.3090376571,99.93363023,0.03086114922,0.157268709,73.59976294,4.298641805,99.73723804,4.602539108,72.93188491,4.289525922
141,699plate,111,5.7,0.3393543428,0,0.2154659926,0.4233191927,0.01631458619,200.3371836,0.6995013394,0.3405322021,0,0.9899103139,0,0.01929403217,0.1239205351,98.40902686,0.0474256973,0.2604846822,35.05322021,3.556867484,99.99103139,4.605080496,34.93543428,3.553501623
27,403traffic sign,103,7.571428571,0.2748391708,0.06661216059,0.9206506304,0.7248478339,0.009437585734,143.3689065,0.5005897574,0.2753311851,0.06661216059,0.9935400517,1,0.2097620347,0.4182498937,99.88567829,0.03405578418,0.141679622,3.724358939,1.31489474,0.9936040116,-0.006416530408,3.717936795,1.31316889
159,649wall clock,134,5.333333333,0.1199885861,0.006483667501,0.06428803348,0.1206109049,0.00514555708,89.2312828,0.3115617416,0.1200399657,0.006638046106,0.9964454976,0.2180094787,0.1736176828,0.304088942,99.71459508,0.04271300107,0.1689925316,7.815819533,2.056149825,4.414051133,1.484792892,7.885901975,2.065076605
90,792doormat,125,4.454545455,0.6844498669,0,0.2831479451,0.3014640639,0.03762231367,221.1930751,0.7723221894,0.6844498669,0,1,0,0,0.2576548041,97.82844186,0.05496723061,0.1167443987,69.44498669,4.240534881,101,4.615120517,69.44498669,4.240534881
154,656bath towel,116,6,0.2127303183,0.07092032215,0.477921454,0.521466984,0.01471117208,183.9374662,0.6422397564,0.2127303183,0.07262100164,1,0.751761293,0.1850184333,0.2673934128,95.55831552,0.06915409236,0.152287761,2.695807529,0.9916977991,1.325874666,0.282072367,2.752464552,1.012496711
144,447seashore,96,4.9,0.3308184353,0.08823658078,0.2315499366,0.1549942595,0.01229690596,172.745286,0.6031609149,0.3308184353,0.08823658078,1,1,0.2667220788,0.3514475453,99.82179999,0.03717116293,0.139362902,3.469363781,1.243971229,1,0,3.469363781,1.243971229
84,470monitor,128,7.181818182,0.1848700495,0.03887417219,0.05232115047,0.1848700495,0.007285474775,187.7530242,0.6555622352,0.1848700495,0.0389012227,1,0.9824267782,0.1631959876,0.1622742323,93.88378263,0.03940862673,0.1839902454,3.984972946,1.382530523,1.017707323,0.01755237507,3.98717852,1.383083843
173,760table lamp,110,7,0.2146127083,0,0.1485882117,0.7304522981,0.007145252248,173.143217,0.6045503385,0.2146127083,0,1,0,0,0.4810037245,98.2742548,0.03329370523,0.09133363816,22.46127083,3.11179253,101,4.615120517,22.46127083,3.11179253
103,678paper towel,104,5.666666667,0.1487571702,0.001248087608,0.1358183554,0.3565965583,0.004743179393,130.3670069,0.4551920633,0.1487571702,0.001286787597,1,0.03984575835,0.05059299867,0.1621989627,99.42846894,0.03188538333,0.1468739521,14.06575333,2.643743001,20.26250645,3.008772205,14.11414773,2.647177679
112,485table lamp,122,5,0.1419470436,0.01455309942,0.04629232748,0.2040613179,0.004346898339,108.2016603,0.3777990934,0.1419470436,0.01455309942,1,1,0.1025248505,0.4282721472,99.90785122,0.03062338058,0.2986922725,6.18850765,1.822693967,1,0,6.18850765,1.822693967
65,508moped,103,5.75,0.07752883762,0.01295956394,0.1250162226,0.08584738243,0.004261545496,140.3991538,0.4902205092,0.07752883762,0.01295956394,1,1,0.132574122,0.1577140411,98.52710962,0.05496723061,0.3288340192,3.812304008,1.338233733,1,0,3.812304008,1.338233733
204,778toilet paper,138,6.285714286,0.08924672489,0,0.6471163458,0.5977074236,0.003987197074,194.5843876,0.6794147612,0.08924672489,0,1,0,0.0321968964,0.09414109373,99.95957017,0.04467611645,0.2805547935,9.924672489,2.295023827,101,4.615120517,9.924672489,2.295023827
207,494coffeemaker,126,7,0.1195652174,0,0.297826087,0.2199352451,0.003151958543,57.36754083,0.2003056593,0.1195652174,0,1,0,0,0.1023558704,99.34018254,0.02636183509,0.07011126353,12.95652174,2.561599271,101,4.615120517,12.95652174,2.561599271
